canonical_name,lat,lng,elevation_ft
Delray Beach city,26.4559,-80.09042,10.4
Land O' Lakes CDP,28.20831,-82.44584,84.3
Largo city,27.90591,-82.76724,5.2
Lehigh Acres CDP,26.61269,-81.63885,22.0
Lighthouse Point city,26.27776,-80.08862,-3.0
Loxahatchee Groves town,26.72088,-80.2772,16.9
Melbourne city,28.11044,-80.66272,28.5
Oviedo city,28.66193,-81.1871,51.3
Palm Bay city,27.96489,-80.65828,23.5
Palm Beach Gardens city,26.84879,-80.16712,14.9
Plantation city,26.12557,-80.26182,7.0
Sanford city,28.78943,-81.27562,39.4
St. Augustine city,29.89615,-81.31113,3.5
Wesley Chapel CDP,28.20525,-82.31711,79.4
Bainbridge city,30.90621,-84.57265,118.1
Cedartown city,34.02175,-85.24753,778.7
Columbus city,32.5102,-84.87495,292.2
Dacula city,33.98197,-83.90108,1062.4
Fayetteville city,33.4491,-84.47282,866.3
Hoschton city,34.08593,-83.7622,923.9
Kennesaw city,34.0272,-84.61709,1097.1
Newnan city,33.37967,-84.7712,975.0
Peachtree City city,33.39189,-84.57066,796.0
Roswell city,34.03945,-84.35095,1060.4
Suwanee city,34.05112,-84.06591,936.3
Ewa Beach CDP,21.31274,-158.00611,10.1
Haleiwa CDP,21.60238,-158.09564,8.2
Mililani Town CDP,21.44651,-158.01464,626.3
Waianae CDP,21.45182,-158.18204,11.1
Cedar Rapids city,41.96585,-91.6789,732.0
Davenport city,41.55682,-90.60395,653.8
Des Moines city,41.57259,-93.61024,792.0
Urbandale city,41.63679,-93.77983,964.6
Pocatello city,42.87275,-112.46384,4466.7
Addison village,41.93078,-88.00899,700.7
Barrington village,42.15154,-88.12853,843.0
Bartlett village,41.96064,-88.17775,765.4
Buffalo Grove village,42.16598,-87.96183,675.2
Des Plaines city,42.0344,-87.90114,644.3
Downers Grove village,41.79503,-88.02106,707.8
Evanston city,42.04639,-87.69435,596.9
Grayslake village,42.34082,-88.03356,778.6
Harwood Heights village,41.96632,-87.80559,653.0
Highland Park city,42.18237,-87.81085,642.4
Lakewood village,42.22451,-88.38669,919.6
Lincolnshire village,42.19652,-87.91774,648.4
Lisle village,41.79211,-88.0877,671.4
Mount Prospect village,42.0642,-87.93736,673.3
Oak Lawn village,41.71388,-87.75278,605.4
Orland Park village,41.60815,-87.85929,682.2
Palatine village,42.11647,-88.04436,752.1
Palos Hills city,41.70068,-87.8253,590.3
Riverside village,41.83096,-87.81585,615.2
Rock Island city,41.47016,-90.58311,610.3
