city,state,lat,lng,canonical_name,strategy,n_athletes
Altadena,CA,34.19221,-118.13559,Altadena CDP,direct,3
Atherton,CA,37.45707,-122.20106,Atherton town,direct,3
Carson,CA,33.84037,-118.24957,Carson city,direct,3
Clayton,CA,37.94032,-121.93008,Clayton city,direct,3
Concord,CA,37.97218,-122.00159,Concord city,direct,3
Corona,CA,33.86197,-117.56549,Corona city,direct,3
Covina,CA,34.09047,-117.88214,Covina city,direct,3
Cypress,CA,33.81848,-118.03831,Cypress city,direct,3
Davis,CA,38.55615,-121.73779,Davis city,direct,3
Fontana,CA,34.10969,-117.46289,Fontana city,direct,3
Ladera Ranch,CA,33.54915,-117.64174,Ladera Ranch CDP,direct,3
Malibu,CA,34.02586,-118.75964,Malibu city,direct,3
Merced,CA,37.30571,-120.47791,Merced city,direct,3
Moraga,CA,37.84569,-122.12322,Moraga town,direct,3
Morgan Hill,CA,37.13249,-121.64189,Morgan Hill city,direct,3
Pacifica,CA,37.6066,-122.47723,Pacifica city,direct,3
Richmond,CA,37.95228,-122.36061,Richmond city,direct,3
Roseville,CA,38.7703,-121.31963,Roseville city,direct,3
San Gabriel,CA,34.09464,-118.09847,San Gabriel city,direct,3
San Ramon,CA,37.76526,-121.93199,San Ramon city,direct,3
Saratoga,CA,37.26833,-122.02622,Saratoga city,direct,3
Sunnyvale,CA,37.3858,-122.02632,Sunnyvale city,direct,3
Tulare,CA,36.19937,-119.34192,Tulare city,direct,3
Union City,CA,37.60276,-122.01884,Union City city,direct,3
Vista,CA,33.18968,-117.23858,Vista city,direct,3
West Covina,CA,34.05594,-117.90994,West Covina city,direct,3
Westminster,CA,33.75229,-117.99387,Westminster city,direct,3
Arvada,CO,39.83373,-105.15031,Arvada city,direct,3
Centennial,CO,39.59086,-104.86381,Centennial city,direct,3
Eagle,CO,39.64322,-106.82134,Eagle town,direct,3
Lakewood,CO,39.69894,-105.11757,Lakewood city,direct,3
Longmont,CO,40.16985,-105.10184,Longmont city,direct,3
Silverthorne,CO,39.65991,-106.08911,Silverthorne town,direct,3
Telluride,CO,37.94023,-107.81815,Telluride town,direct,3
Darien,CT,41.07674,-73.46967,Darien Downtown CDP,state-starts,3
Fairfield,CT,41.15895,-73.25706,Fairfield University CDP,state-starts,3
Ridgefield,CT,41.26969,-73.49261,Ridgefield CDP,direct,3
Newark,DE,39.67765,-75.75748,Newark city,direct,3
Bradenton,FL,27.4898,-82.5768,Bradenton city,direct,3
Davie,FL,26.07917,-80.28301,Davie town,direct,3
Jupiter,FL,26.91855,-80.11694,Jupiter town,direct,3
Kissimmee,FL,28.30278,-81.41783,Kissimmee city,direct,3
Lakeland,FL,28.0555,-81.95477,Lakeland city,direct,3
Tallahassee,FL,30.45353,-84.25227,Tallahassee city,direct,3
